teacup	https://www.amazon.com/SYJAN-HOME-Ceramic-teacups-Japanese/dp/B0B5K9RK23	SYJAN HOME Ceramic Teacups Set of 4, No Handle, 3 oz Japanese Teacup Set	NA
saucer	https://www.amazon.com/Ceramic-cutlery-Tableware-Saucer-Dinner/dp/B0CLY5XT2B	Ceramic 2pcs 4 Inch Plain White Saucer / Small Plate	NA
espresso_cup	https://www.amazon.com/Ceramic-Espresso-Cups-Set-Accessories/dp/B0BNVN8HLG	Ceramic Espresso Cups Set of 4, 4.5oz - Demitasse Cups	NA
shot_glass	https://www.amazon.com/True-1-5-Shot-Glasses-Classic/dp/B08NTWZHKZ	True Classic Shot Glass, Set of 6, 1.5 oz	9.99
beer_mug	https://www.amazon.com/Libbey-Heidelberg-Glass-Beer-16-ounce/dp/B00005MG3O	Libbey Heidelberg Glass Beer Mug Set, 16 oz with Handle	34.99
pitcher	https://www.amazon.com/Glass-Water-Pitcher-Spout-Crystal-Clear/dp/B09M17S5FB	Glaver's Glass Water Pitcher with Spout, 48 Ounces	NA
carafe	https://www.amazon.com/NETANY-Carafe-Beverage-Pitcher-Lemonade/dp/B099RL5XXP	NETANY Glass Carafe with Lid, 1 Liter, Set of 4	NA
drinking_tumbler	https://www.amazon.com/Libbey-Heavy-Base-Tumbler-Glasses/dp/B00O8ZTWQQ	Libbey Heavy Base Drinking Glasses Set of 8, 15.5 Oz	34.99
coffee_grinder	https://www.amazon.com/JavaPresse-Grinder-Conical-Brushed-Stainless/dp/B013R3Q7B2	JavaPresse Manual Stainless Steel Coffee Grinder, Conical Burr	39.99
kitchen_scale	https://www.amazon.com/AmazonBasics-Stainless-Digital-Batteries-Included/dp/B06X9NQ8GX	Amazon Basics Digital Kitchen Scale with LCD, up to 11 lb	9.89
slotted_spoon	https://www.amazon.com/All-Clad-Stainless-Slotted-Kitchen-13-Inch/dp/B00005AL7I	All-Clad Stainless Steel Slotted Spoon, 13-Inch	29.95
spaghetti_server	https://www.amazon.com/Spaghetti-Newness-Stainless-Steel-Comfortable/dp/B074C5RCTG	Newness 304 Stainless Steel Spaghetti Server / Pasta Fork	NA
meat_tenderizer	https://www.amazon.com/KITEXPERT-Tenderizer-Comfortable-Grip-Dual-side-Tenderizing/dp/B09QMFY1QC	KITEXPERT Meat Tenderizer Hammer, Dual-side Mallet	NA
mortar_and_pestle	https://www.amazon.com/Natural-Granite-Guacamole-Grinder-Crusher/dp/B09DD44BFD	Priority Chef Heavy Duty 1.5 Cup Granite Mortar and Pestle Set	36.24
nutcracker	https://www.amazon.com/Metal-Nutcracker-Seafood-Tool-Lobster/dp/B08ZMCPWDM	Handy Housewares Metal Nutcracker / Seafood Tool	7.39
bottle_opener	https://www.amazon.com/OXO-SteeL-Stainless-Bottle-Opener/dp/B0001YH1A2	OXO SteeL Stainless Steel Bottle and Can Opener	12.49
wine_stopper	https://www.amazon.com/Vacu-Vin-Stainless-Stopper-Stoppers/dp/B08B5JR118	Vacu Vin Stainless Steel Wine Saver with 6 Vacuum Stoppers	NA
ice_cube_tray	https://www.amazon.com/DOQAUS-Ice-Cube-Tray-Lids/dp/B088CR8NMD	DOQAUS Ice Cube Tray with Lids, 4 Pack Stackable Silicone	13.00
muffin_tin	https://www.amazon.com/Farberware-Nonstick-Bakeware-12-Cup-Muffin/dp/B00008W70J	Farberware Nonstick 12-Cup Muffin Pan, Gray	16.99
loaf_pan	https://www.amazon.com/AmazonBasics-Nonstick-Carbon-Steel-Bread/dp/B073P52PPR	Amazon Basics Nonstick Bread Loaf Pan, 9.5x5 in, Set of 2	19.72
pie_dish	https://www.amazon.com/Mora-Ceramic-Pie-Pan-Baking/dp/B094WYSWV5	MORA Ceramic Pie Pan, 9 inch Deep Fluted, Vanilla White	NA
ramekin	https://www.amazon.com/TAUCI-Ramekins-Dipping-Sauces-Pudding/dp/B07Z4R7CJZ	LE TAUCI Ramekins 4 OZ Oven Safe, Set of 6, White	17.99
casserole_dish	https://www.amazon.com/Lareina-Ceramic-Casserole-Rectangular-Stoneware/dp/B097RBK95L	Lareina Large Ceramic Casserole Dish with Lid, 4.0 Quart, Red	39.99
saucepan	https://www.amazon.com/AmazonBasics-Stainless-Steel-Sauce-3-Quart/dp/B07Y3L59BD	Amazon Basics Stainless Steel Sauce Pan with Lid, 3-Quart	24.30
frying_pan	https://www.amazon.com/Tramontina-80114-535DS-Professional-Restaurant/dp/B009HBKQ16	Tramontina Professional 10-Inch Nonstick Frying Pan	24.95
wok	https://www.amazon.com/Helen-Asian-Kitchen-Carbon-12-inch/dp/B00428M7K2	Helen's Asian Kitchen Carbon Steel Wok, 12-inch	31.95
salad_spinner	https://www.amazon.com/OXO-Good-Grips-Salad-Spinner/dp/B00004OCKR	OXO Good Grips Salad Spinner, 6.22 Quart	34.99
salad_bowl	https://www.amazon.com/Acacia-Wooden-Salad-Bowl-Set/dp/B076HN9Z8Z	AIDEA Acacia Wood Salad Bowl Set, 12.5" with Utensils	45.99
cake_stand	https://www.amazon.com/Anchor-Hocking-340Q-Glass-11-25/dp/B01IIGO6Q6	Anchor Hocking Glass 11.25" Cake Dome / Stand	NA
bread_basket	https://www.amazon.com/Imitation-Baskets-Tabletop-Vegetables-Restaurant/dp/B0BGXDFC1L	Eccliy 6 Pack Wicker Bread Baskets, 15.8 Inch Woven	NA
coffee_canister	https://www.amazon.com/Veken-Canister-Stainless-Container-Accessories/dp/B0DZ2MMFMJ	Veken Coffee Canister, 39OZ Airtight Stainless Steel	NA
flour_canister	https://www.amazon.com/Containers-Vtopmart-Airtight-Supplies-Measuring/dp/B087G4T7VN	Vtopmart 4 PCS Airtight Food Storage Canisters for Flour/Sugar	NA
cookie_cutter	https://www.amazon.com/Pieces-Biscuit-Graduated-Cutters-Stainless/dp/B08BWL2TR5	12 Pieces Round Cookie Biscuit Cutter Set, Stainless Steel	35.07
manual_juicer	https://www.amazon.com/CO-Z-Commercial-Citrus-Squeezer-Pomegranate/dp/B01MRNL7WI	CO-Z Manual Citrus Juicer, Commercial Grade Cast Iron	NA
apple_corer	https://www.amazon.com/Zulay-Stainless-Steel-Apple-Corer/dp/B07C6CP1XB	Zulay Kitchen Apple Corer Tool, Stainless Steel	9.99
melon_baller	https://www.amazon.com/Professional-Stainless-Steel-Handled-Baller/dp/B0001IWV4Y	KitchenCraft Professional Melon Baller Scoop, Stainless Steel	NA
potato_ricer	https://www.amazon.com/Priority-Chef-Potato-Perfection-Stainless/dp/B00MUEHPGQ	PriorityChef Large 15oz Potato Ricer, Stainless Steel	25.99
egg_slicer	https://www.amazon.com/OXO-1271080-1271080V1-Slicer-White/dp/B00FYL4MY0	OXO Good Grips Egg Slicer	14.99
avocado_slicer	https://www.amazon.com/OXO-Good-Grips-Avocado-Slicer/dp/B0088LR592	OXO Good Grips 3-in-1 Avocado Slicer, Green	11.99
mandoline_slicer	https://www.amazon.com/OXO-Adjustable-Handheld-Mandoline-Slicer/dp/B000YDO2LG	OXO Good Grips Handheld Mandoline Slicer, Adjustable	21.95
box_grater	https://www.amazon.com/OXO-Good-Grips-Box-Grater/dp/B0007VO0CQ	OXO Good Grips Box Grater	28.00
mesh_strainer	https://www.amazon.com/Cuisinart-CTG-00-3MS-Stainless-Steel-Strainers/dp/B007TUQF9O	Cuisinart Stainless Steel Fine Mesh Strainers, Set of 3	15.99
fish_spatula	https://www.amazon.com/MIU-France-Stainless-Slotted-11-Inch/dp/B000GGTYC8	MIU Fish Spatula Stainless Steel, Flexible Slotted Turner	27.99
basting_brush	https://www.amazon.com/OXO-Grips-Silicone-Basting-Pastry/dp/B000HD7FJ4	OXO Good Grips Silicone Basting & Pastry Brush	12.99
dough_scraper	https://www.amazon.com/Spring-Chef-Stainless-Scraper-Chopper/dp/B01FQACSLM	Spring Chef Dough Bench Scraper, Stainless Steel	NA
bench_scraper	https://www.amazon.com/OXO-Multi-purpose-Stainless-Scraper-Chopper/dp/B00004OCNJ	OXO Good Grips Stainless Steel Multi-Purpose Scraper & Chopper	14.99
cake_server	https://www.amazon.com/Nordic-Ware-Cake-Lifter-10-Inches/dp/B000237LPC	Nordic Ware Cake Lifter, 10-Inches	16.50
